,reward,len,score,turns,dlvl,max_hitpoints,max_energy,armor_class,experience_level,experience_points,eating_score,gold_score,scout_score,sokobanfillpit_score,staircase_pet_score,staircase_score,episode_number,true_objective
0,0.0,198.0,0,5,1,14,4,4,1,0,0,0,76,0,0,0,0,0.0
1,0.0,182.0,0,6,1,14,5,4,1,0,0,0,84,0,0,0,0,0.0
2,15.0,504.0,15,206,1,14,4,4,1,3,16,3,287,0,0,0,0,15.0
3,0.0,355.0,0,119,1,14,5,4,1,0,0,0,257,0,0,0,0,0.0
4,8.0,411.0,8,76,1,14,4,4,1,2,26,0,103,0,0,0,0,8.0
5,0.0,191.0,0,4,1,14,4,4,1,0,0,0,98,0,0,0,0,0.0
6,36.0,1372.0,36,1126,1,14,4,3,1,9,827,792,367,0,0,0,0,36.0
7,0.0,202.0,0,5,1,14,5,4,1,0,0,0,66,0,0,0,0,0.0
8,163.0,1936.0,163,1396,1,22,9,3,2,36,1294,9,338,0,0,0,0,163.0
9,24.0,402.0,24,89,1,14,5,3,1,6,0,0,170,0,0,0,0,24.0
10,0.0,192.0,0,4,1,14,4,4,1,0,0,0,63,0,0,0,0,0.0
11,42.0,2832.0,42,2511,1,14,4,0,1,0,1034,12,553,0,0,0,1,42.0
12,497.0,3678.0,497,2865,1,37,17,3,4,121,2258,13,628,0,0,7,0,497.0
13,0.0,224.0,0,7,1,14,5,4,1,0,0,0,80,0,0,0,0,0.0
14,674.0,4921.0,674,4964,1,46,24,3,5,163,2989,22,554,0,3,6,0,674.0
15,430.0,4529.0,430,3421,1,30,22,3,4,105,2923,720,732,0,0,0,0,430.0
16,555.0,4308.0,555,3279,1,30,14,2,4,137,2686,7,515,0,2,5,0,555.0
17,0.0,177.0,0,2,1,14,4,4,1,0,0,0,60,0,0,0,0,0.0
18,219.0,1698.0,219,1042,1,21,19,3,3,54,572,3,342,0,0,1,0,219.0
19,377.0,3187.0,377,2451,1,31,21,3,4,92,2487,9,497,0,0,2,0,377.0
20,972.0,6527.0,972,4466,2,37,22,3,5,225,4427,22,1124,0,0,3,0,972.0
21,32.0,478.0,32,146,1,14,5,4,1,8,0,0,221,0,0,0,0,32.0
22,704.0,9420.0,704,2913,2,27,20,0,4,142,2373,36,1260,0,0,72,0,704.0
23,1172.0,9218.0,1172,6233,1,42,33,3,5,161,5157,16,533,0,0,13,0,1172.0
24,236.0,1655.0,236,1029,1,26,16,3,3,56,451,12,431,0,0,0,0,236.0
25,0.0,168.0,0,4,1,14,5,4,1,0,0,0,66,0,0,0,0,0.0
26,20.0,644.0,20,150,1,14,5,4,1,5,255,0,232,0,0,0,0,20.0
27,0.0,215.0,0,6,1,14,4,4,1,0,0,0,70,0,0,0,0,0.0
28,554.0,5967.0,554,4468,1,26,33,3,4,133,3833,12,574,0,2,7,0,554.0
29,933.0,9231.0,933,7541,1,35,18,3,5,201,6828,129,467,0,7,27,0,933.0
30,1240.0,9699.0,1240,6860,1,27,28,3,5,308,6680,8,536,0,3,5,0,1240.0
31,0.0,144.0,0,62,1,14,5,4,1,0,0,0,168,0,0,0,1,0.0
32,1353.0,11569.0,1353,9722,1,38,36,3,5,162,7640,5,545,0,14,40,0,1353.0
33,2060.0,11666.0,2060,8362,3,40,25,3,6,484,7788,14,579,0,1,38,0,2060.0
34,4.0,411.0,4,157,1,14,4,4,1,1,0,0,353,0,0,0,1,4.0
35,308.0,3205.0,308,2790,1,29,17,3,3,75,2971,8,556,0,0,0,0,308.0
36,2410.0,9002.0,2410,5530,4,53,40,2,6,556,5105,36,1878,0,0,15,0,2410.0
37,634.0,5812.0,634,4584,1,25,26,4,4,158,3860,2,370,0,0,0,0,634.0
38,451.0,7700.0,451,3660,1,32,18,-2,4,112,3893,3,614,0,0,2,1,451.0
39,1078.0,6349.0,1078,5196,1,39,18,1,5,268,4925,6,441,0,0,6,1,1078.0
40,735.0,10949.0,735,7554,1,37,33,2,5,181,7244,11,484,0,4,36,1,735.0
41,1650.0,13356.0,1650,10505,1,40,27,3,6,409,10442,14,595,0,0,4,0,1650.0
42,1548.0,11282.0,1548,9349,1,47,30,3,6,380,8099,8,558,0,1,8,0,1548.0
43,1421.0,11736.0,1421,9990,1,48,36,3,6,320,8023,21,554,0,0,1,0,1421.0
44,1161.0,10345.0,1161,8070,1,36,22,4,5,171,6836,17,586,0,8,37,0,1161.0
45,1818.0,14291.0,1818,10949,1,45,35,3,6,452,10751,0,557,0,7,38,0,1818.0
46,412.0,2915.0,416,2209,1,44,21,4,4,98,2101,10,291,0,15,49,0,412.0
47,11.0,6160.0,11,2907,1,17,5,-3,1,0,3276,7,492,0,0,0,1,11.0
48,2167.0,14382.0,2167,9286,1,49,28,3,6,536,8472,13,474,0,1,39,0,2167.0
49,3001.0,10815.0,3001,6497,3,55,34,3,7,654,6451,225,1483,0,0,99,0,3001.0
50,0.0,181.0,0,3,1,14,5,4,1,0,0,0,50,0,0,0,1,0.0
51,1527.0,15122.0,1527,10700,1,44,29,3,6,379,9962,11,544,0,4,25,0,1527.0
52,943.0,13070.0,943,8512,1,40,25,10,5,235,7821,3,409,0,7,17,1,943.0
53,3709.0,15076.0,3709,9706,6,45,32,8,7,807,8347,161,3349,0,0,60,0,3709.0
54,1226.0,7574.0,1226,3172,5,42,32,7,5,240,3148,46,2399,0,0,11,0,1226.0
55,1194.0,11824.0,1194,9586,1,38,27,3,5,168,7826,14,561,0,0,14,1,1194.0
56,1759.0,15557.0,1759,11161,1,53,41,3,6,327,9756,7,583,0,48,71,0,1759.0
57,1183.0,7821.0,1183,5902,1,41,24,3,5,291,5952,19,618,0,2,11,1,1183.0
58,1680.0,13183.0,1680,10106,1,48,29,3,6,420,10049,0,535,0,4,29,0,1680.0
59,180.0,2229.0,180,1662,1,28,13,3,3,44,1722,4,543,0,1,14,0,180.0
60,732.0,8970.0,732,7084,1,47,39,1,5,166,5996,4,634,0,0,9,1,732.0
61,90.0,1081.0,90,544,1,14,5,4,1,17,195,22,374,0,0,0,0,90.0
62,1205.0,10845.0,1205,8520,1,43,34,3,5,299,8016,9,525,0,2,14,0,1205.0
63,1770.0,15318.0,1770,10265,1,46,29,3,6,440,9165,10,430,0,0,21,0,1770.0
64,1861.0,14397.0,1861,10835,1,50,33,3,6,463,8813,9,565,0,1,29,0,1861.0
65,2149.0,18958.0,2149,12355,1,40,41,3,6,534,12264,13,635,0,1,7,0,2149.0
66,2489.0,19061.0,2489,14456,1,40,27,4,6,620,13166,9,419,0,40,96,0,2489.0
67,2938.0,17955.0,2938,13460,1,58,34,2,7,734,12698,2,491,0,0,1,0,2938.0
68,3646.0,19462.0,3646,13527,1,56,44,3,7,908,13335,4,531,0,0,28,0,3646.0
69,1032.0,8900.0,1032,6439,1,38,29,3,5,258,5677,1054,512,0,4,8,1,1032.0
70,3368.0,22682.0,3368,14430,1,55,27,-1,7,842,13626,56,511,0,3,42,0,3368.0
71,970.0,10954.0,970,8618,1,36,18,4,5,239,8456,4,605,0,6,12,1,970.0
72,2992.0,23065.0,2992,16655,1,64,41,4,7,748,16408,0,484,0,9,44,0,2992.0
73,2683.0,19230.0,2683,11353,1,50,38,10,7,665,10489,13,419,0,1,34,0,2683.0
74,2458.0,19489.0,2458,14312,1,43,39,10,6,612,13358,0,404,0,10,24,0,2458.0
75,565.0,5258.0,565,3742,1,29,33,3,4,137,3000,17,465,0,4,8,0,565.0
76,2350.0,19539.0,2350,14380,1,28,37,2,5,319,12895,10,659,0,7,35,0,2350.0
77,36.0,577.0,36,209,1,15,5,4,1,9,0,0,251,0,0,2,0,36.0
78,56.0,461.0,56,131,1,14,5,4,1,14,240,0,260,0,0,0,0,56.0
79,1326.0,10600.0,1326,7950,1,38,28,3,6,329,7222,10,554,0,4,16,0,1326.0
80,2164.0,17483.0,2164,13135,1,41,37,4,6,326,11494,0,529,0,9,47,0,2164.0
81,1583.0,13088.0,1583,9981,1,48,38,3,6,394,9921,7,555,0,7,21,1,1583.0
82,1980.0,14128.0,1980,8483,1,44,34,3,6,488,7613,18,680,0,0,17,0,1980.0
83,4388.0,27670.0,4388,18890,1,48,34,3,7,1097,18432,6,594,0,11,61,0,4388.0
84,3485.0,22781.0,3485,17897,1,50,38,3,7,866,16270,21,479,0,35,98,0,3485.0
85,779.0,6656.0,779,5015,1,41,41,3,5,194,4279,3,613,0,1,6,0,779.0
86,2032.0,20630.0,2032,14078,1,44,31,2,6,508,13442,1030,603,0,12,35,0,2032.0
87,2104.0,19024.0,2104,14149,1,58,38,3,6,521,13666,792,458,0,7,59,0,2104.0
88,414.0,1724.0,414,973,4,27,22,4,3,48,934,22,864,0,0,5,0,414.0
89,39.0,615.0,39,165,1,14,4,4,1,9,0,3,329,0,0,0,0,39.0
90,993.0,6723.0,993,5073,1,29,22,3,5,245,5044,13,543,0,0,33,0,993.0
91,2792.0,26130.0,2792,16644,1,48,48,4,7,698,16368,816,585,0,5,26,0,2792.0
92,3300.0,21303.0,3300,14837,1,50,33,3,6,325,13321,2,474,0,22,62,0,3300.0
93,0.0,208.0,0,26,1,14,5,4,1,0,0,0,140,0,0,0,1,0.0
94,3834.0,25587.0,3834,17155,1,55,38,3,7,927,16243,184,534,0,1,115,0,3834.0
95,3287.0,26821.0,3287,16542,1,54,55,10,7,820,16572,7,510,0,2,40,0,3287.0
96,4475.0,30092.0,4475,17922,1,54,36,6,7,1111,17336,71,719,0,12,106,0,4475.0
97,1912.0,15734.0,1912,10598,1,42,37,3,6,478,9967,826,567,0,12,51,0,1912.0
98,4224.0,27697.0,4224,18937,1,60,41,1,7,646,16939,412,424,0,17,27,0,4224.0
99,3590.0,22827.0,3590,13055,1,60,33,3,7,895,13084,954,545,0,1,24,0,3590.0
100,2248.0,10193.0,2248,8347,3,40,37,1,6,521,8245,64,1139,0,0,13,0,2248.0
101,4193.0,31079.0,4193,23907,1,58,45,3,7,718,22205,73,579,0,27,100,0,4193.0
102,5887.0,27631.0,5887,19805,4,56,42,0,8,1409,19010,101,1090,0,129,350,0,5887.0
103,2407.0,15997.0,2407,11297,1,41,31,6,6,595,10580,17,479,0,0,9,1,2407.0
104,4456.0,27884.0,4456,18590,3,56,38,4,7,1085,18154,768,1168,0,12,64,0,4456.0
105,5427.0,28342.0,5427,20044,1,63,57,1,8,1329,19947,263,643,0,4,63,0,5427.0
106,2055.0,16364.0,2055,12490,1,41,31,2,6,509,11547,19,551,0,12,55,0,2055.0
107,3781.0,23898.0,3781,17027,1,55,46,-1,7,643,15916,1119,458,0,33,70,0,3781.0
108,3818.0,28581.0,3818,21117,1,57,38,3,7,952,20026,26,442,0,18,34,0,3818.0
109,2920.0,20727.0,2920,15022,1,63,47,3,7,723,14248,18,599,0,26,65,0,2920.0
110,3587.0,16612.0,3587,12793,1,67,32,2,7,866,12098,123,631,0,0,38,0,3587.0
111,6031.0,32803.0,6031,21374,3,54,43,2,8,1477,21417,117,1481,0,15,94,0,6031.0
112,4260.0,29558.0,4260,20553,1,50,40,1,7,1061,19528,36,486,0,15,69,0,4260.0
113,3596.0,24882.0,3596,16111,1,51,34,1,7,896,15817,12,553,0,60,137,0,3596.0
114,2762.0,21179.0,2762,16762,1,66,38,3,7,690,16852,2,489,0,16,41,0,2762.0
115,4311.0,27524.0,4311,19970,1,46,43,1,7,1043,18293,1195,506,0,15,47,0,4311.0
116,177.0,2718.0,177,1058,1,20,8,-3,2,38,904,15,494,0,0,0,1,177.0
117,845.0,7981.0,845,5529,1,31,32,4,5,209,4907,9,576,0,0,5,0,845.0
118,3456.0,21765.0,3456,16094,1,54,48,3,7,640,14925,48,669,0,16,51,0,3456.0
119,3027.0,21145.0,3027,15237,1,41,37,1,6,639,14060,15,699,0,3,21,1,3027.0
120,147.0,1263.0,147,657,1,20,12,3,2,34,588,11,345,0,1,3,1,147.0
121,1858.0,17732.0,1858,13638,1,47,30,3,6,457,12867,10,648,0,8,71,0,1858.0
122,669.0,11810.0,669,7549,1,34,25,-4,4,159,7804,9,479,0,1,3,1,669.0
123,5986.0,31153.0,5986,22330,4,57,47,1,8,1434,21597,138,1866,0,5,18,0,5986.0
124,10324.0,35299.0,10324,22172,2,63,42,2,8,2535,21435,238,1028,0,2,49,0,10324.0
125,650.0,7705.0,650,6015,1,47,34,4,5,160,5298,10,430,0,9,28,0,650.0
126,4630.0,26171.0,4630,18542,1,46,52,1,7,1155,18219,20,618,0,0,92,0,4630.0
127,2286.0,18290.0,2286,11731,1,47,38,3,6,568,10630,4,551,0,2,150,0,2286.0
