"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"0","2","1831","2","1030","1","17","4","-1","1","0","1250","2","257","0","0","0","nle.2693393.0.ttyrec3.bz2","0","2","1","Mon","Hum","Mal","Neu","quit"
"1","575","4096","575","3377","1","27","18","3","3","52","3525","1101","659","0","0","2","nle.2693395.0.ttyrec3.bz2","0","575","1","Mon","Hum","Mal","Neu","killed by a guard"
"2","932","8198","934","6334","1","33","28","3","5","231","6620","8","405","0","0","15","nle.2693398.0.ttyrec3.bz2","0","932","1","Mon","Hum","Mal","Neu","poisoned by a rotted floating eye corpse"
"3","1231","10594","1231","9161","1","43","25","3","5","179","7001","7","482","0","27","126","nle.2693392.0.ttyrec3.bz2","0","1231","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"4","1513","13434","1513","10747","1","46","24","4","6","375","9857","3","493","0","1","24","nle.2693397.0.ttyrec3.bz2","0","1513","1","Mon","Hum","Mal","Neu","killed by a giant bat while fainted from lack of food"
"5","1620","15929","1620","10687","1","47","34","3","6","405","10635","0","630","0","16","38","nle.2693391.0.ttyrec3.bz2","0","1620","1","Mon","Hum","Mal","Neu","quit"
"6","1884","16685","1884","10979","1","49","34","4","6","471","10678","0","643","0","0","0","nle.2693394.0.ttyrec3.bz2","0","1884","1","Mon","Hum","Mal","Neu","quit"
"7","1895","16065","1895","11913","1","49","32","10","6","467","10640","7","548","0","0","41","nle.2693452.0.ttyrec3.bz2","0","1895","1","Mon","Hum","Mal","Neu","killed by an iguana while fainted from lack of food"
"8","71","758","71","334","1","14","5","4","1","17","0","3","464","0","0","0","nle.2693394.1.ttyrec3.bz2","1","71","1","Mon","Hum","Mal","Neu","quit"
"9","3020","21126","3020","9168","3","57","36","3","7","730","8523","40","1490","0","0","9","nle.2693387.0.ttyrec3.bz2","0","3020","3","Mon","Hum","Mal","Neu","killed by Ms. Sneem; the shopkeeper"
"10","2456","19543","2456","15162","1","44","33","3","6","611","13999","12","547","0","12","64","nle.2693393.1.ttyrec3.bz2","1","2456","1","Mon","Hum","Mal","Neu","killed by a wererat while fainted from lack of food"
"11","901","7619","901","5607","1","38","31","2","5","223","6299","9","590","0","7","21","nle.2693397.1.ttyrec3.bz2","1","901","1","Mon","Hum","Mal","Neu","quit"
"12","920","7564","920","5842","1","14","25","7","5","225","5306","0","592","0","5","7","nle.2693394.2.ttyrec3.bz2","2","920","1","Mon","Hum","Mal","Neu","killed by the wrath of Chih Sung-tzu"
"13","2894","25209","2894","16481","1","50","39","2","7","659","15206","28","542","0","2","55","nle.2693395.1.ttyrec3.bz2","1","2894","1","Mon","Hum","Mal","Neu","killed by a hill orc while fainted from lack of food"
"14","6047","28912","6047","18877","1","60","47","1","8","1452","18837","229","543","0","4","188","nle.2693399.0.ttyrec3.bz2","0","6047","1","Mon","Hum","Mal","Neu","quit"
"15","15129","31920","15129","20155","3","66","46","5","9","3689","19351","193","2419","0","4","220","nle.2693388.0.ttyrec3.bz2","0","15129","4","Mon","Hum","Mal","Neu","poisoned by a rotted soldier ant corpse"
"16","122","1346","122","774","1","21","11","4","2","27","258","14","569","0","0","1","nle.2693388.1.ttyrec3.bz2","1","122","1","Mon","Hum","Mal","Neu","quit"
"17","6333","31668","6333","21842","2","59","32","1","8","1545","21063","277","1057","0","5","22","nle.2693396.0.ttyrec3.bz2","0","6333","2","Mon","Hum","Mal","Neu","poisoned by a rotted giant ant corpse"
"18","8342","32108","8342","20179","4","81","48","5","8","2027","20315","102","2055","0","9","106","nle.2693389.0.ttyrec3.bz2","0","8342","4","Mon","Hum","Mal","Neu","poisoned by a rotted gnome corpse"
"19","10912","38864","10912","26100","4","75","54","10","9","3520","26289","384","2732","0","28","152","nle.2693400.0.ttyrec3.bz2","0","10912","4","Mon","Hum","Mal","Neu","poisoned by a rotted iguana corpse"
"20","2023","17271","2023","12246","1","48","45","3","6","328","11131","3","456","0","41","135","nle.2693393.2.ttyrec3.bz2","2","2023","1","Mon","Hum","Mal","Neu","killed by a giant bat while fainted from lack of food"
"21","822","8098","822","7458","1","10","25","7","5","201","5435","18","571","0","1","3","nle.2693389.1.ttyrec3.bz2","1","822","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"22","9382","34390","9382","20165","3","52","46","3","8","2211","19760","584","2476","0","0","51","nle.2693398.1.ttyrec3.bz2","1","9382","3","Mon","Hum","Mal","Neu","killed by a dwarf"
"23","6123","40230","6123","25429","2","59","48","3","8","1295","23943","223","919","0","13","73","nle.2693390.0.ttyrec3.bz2","0","6123","2","Mon","Hum","Mal","Neu","killed by a giant bat while fainted from lack of food"
"24","1983","14943","1983","11694","1","52","38","3","6","488","11541","21","523","0","4","30","nle.2693399.1.ttyrec3.bz2","1","1983","1","Mon","Hum","Mal","Neu","killed by a magic missile"
"25","4272","17047","4272","10933","6","50","37","4","7","1003","10676","244","2660","0","25","237","nle.2693395.2.ttyrec3.bz2","2","4272","6","Mon","Hum","Mal","Neu","quit"
"26","1611","14089","1611","10082","1","39","33","1","6","402","8900","3","514","0","8","46","nle.2693396.1.ttyrec3.bz2","1","1611","1","Mon","Hum","Mal","Neu","killed by a manes while fainted from lack of food"
